"1-arachidonoyl-gpc (20:4)","1-docosahexaenoyl-gpc (22:6)","1-eicosatrienoyl-gpc (20:3)","1-eicosatrienoylglycerophosphoethanolamine","1-eicosenoylglycerophosphocholine (20:1n9)","1-linoleoyl-gpc (18:2)","1-linoleoyl-gpi (18:2)","1-linoleoylglycerol (18:2)","1-nonadecanoylglycerophosphocholine(19:0)","1-oleoyl-gpc (18:1)","1-oleoylglycerol (18:1)","1-oleoylglycerophosphoglycerol","1-palmitoyl-gpc (16:0)","1-palmitoyl-gpe (16:0)","1-palmitoylglycerophosphate","1-palmitoylglycerophosphoglycerol","1-stearoyl-gpc (18:0)","1,5-anhydroglucitol (1,5-ag)","2-aminobutyrate","2-arachidonoyl glycerol","2-arachidonoyl-gpc (20:4)","2-eicosatrienoyl-gpc (20:3)","2-hydroxydecanoate","2-hydroxyoctanoate","2-hydroxystearate","2-linoleoyl-gpc (18:2)","2-linoleoyl-gpe (18:2)","2-linoleoylglycerol (2-monolinolein)","2-oleoyl-gpc (18:1)","2-stearoyl-gpc (18:0)","2-stearoylglycerophosphoethanolamine","3-dehydrocarnitine","3-indoxyl sulfate","3-methylhistidine","3-methylxanthine","3-phenylpropionate (hydrocinnamate)","4-androsten-3beta,17beta-diol disulfate 1","4-vinylphenol sulfate","5-methyluridine (ribothymidine)","allantoin","alpha-ketobutyrate","androsterone sulfate","arachidonate (20:4n6)","arginylproline","asparagylleucine","bradykinin, des-arg(9)","campesterol","catechol sulfate","chiro-inositol","choline","cinnamoylglycine","cis-aconitate","citrate","cortisol","cyclo(l-phe-l-pro)","cysteine-glutathione disulfide","dehydroisoandrosterone sulfate (dhea-s)","delta-tocopherol","dihomolinoleate (20:2n6)","dihydroorotate","furaneol","gamma-cehc","gamma-glutamyl-2-aminobutyrate","gamma-glutamylalanine","glucose","glycerate","glycerol","glycochenodeoxycholate","glycocholate","glycolithocholate sulfate","glycylphenylalanine","guanidinosuccinate","guanosine","histidine","histidylphenylalanine","hwesasllr","indolepropionate","isoleucylglutamine","isoleucylglycine","isoleucylvaline","lathosterol","leucylasparagine","leucylaspartate","leucylphenylalanine","linoleamide (18:2n6)","linolenate (18:3n3 or 3n6)","lysine","maltotriose","myristoleate (14:1n5)","n-oleoyltaurine","n-palmitoyltaurine","n4-acetylcytidine","palmitate (16:0)","palmitic amide","palmitoleate (16:1n7)","palmitoyl sphingomyelin","pantothenate (vitamin b5)","paraxanthine","phenylalanylalanine","phenylalanylglutamate","pipecolate","pregn steroid monosulfate","prolylhydroxyproline","pyroglutamylglutamine","pyrophosphate (ppi)","serotonin (5ht)","stachydrine","stearate (18:0)","sucrose","taurochenodeoxycholate","taurocholate","taurolithocholate 3-sulfate","theobromine","theophylline","threonylleucine","thymol sulfate","trigonelline (n'-methylnicotinate)","tryptophylglutamate","valylglycine","x - 01911","x - 02269","x - 07765","x - 09789","x - 10346","x - 11247","x - 11299","x - 11360","x - 11381","x - 11437","x - 11440","x - 11478","x - 11483","x - 11485","x - 11537","x - 11843","x - 12056","x - 12101","x - 12212","x - 12216","x - 12231","x - 12425","x - 12450","x - 12524","x - 12565","x - 12680","x - 12729","x - 12734","x - 12760","x - 12792","x - 12798","x - 12847","x - 12860","x - 13007","x - 13429","x - 13431","x - 13478","x - 13481","x - 13730","x - 14291","x - 14626","x - 15168","x - 15559","x - 15563","x - 15667","x - 15728","x - 16036","x - 16581","x - 16653","x - 16935","x - 17001","x - 17137","x - 17146","x - 17185","x - 17269","x - 17306","x - 17323","x - 17327","x - 17335","x - 17357","x - 17654","x - 17735","x - 18140","x - 18227","x - 18249","x - 18371","x - 18718","x - 18887","x - 18914","x - 18920","x - 18965","x - 19380","x - 19411","x - 20587","xanthine","xanthurenate","xylulose"
0,0,0,0,0,0,0,-0.0872578477850806,0,0,0,0,0,0,-0.0204777064588683,0,0,0,0,0,0,0.0537106437945721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00958877979165903,0.0437400363328887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00926895332116902,0,0.0271806051955632,0,0,-0.00806753166975123,0,0,0,0,0,0,0,-0.0534633909676638,0,0,0,0,0,0,0,0,0,-0.00466350032147046,0,0,0,0,0,0,0,-0.0531673383590114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046894478503949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0115916573344626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105574359745066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00522748034126211,-0.0543906996519622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-0.0639826660027162,0,-0.0347688787939161,-0.0159094372760694,0,0,0,0,0,0,0,0,0,0,-0.0767636103346082,0,0,0,-0.043935337189522,-0.0338807535977394,0,0,0,-0.0239215352697576,0,0,-0.00347060968508806,-0.0535387057666591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318953623261471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014479501019146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107563905631564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-0.0202364611092677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543192345783896,0,0.00657513433071572,0,0,0,0,0,-0.0225202804923404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333707520589148,0,0,0,0,0,0,0,0.0121703714438688,0,0,0,0,0.0435125687570634,0,0,0.0471869715229286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279754321879393,0,0,0.0123815179037693,0,0.0249136684247484,0,0.0729195221907405,0,0.0119129022649828,0,0,0,0,0,0,0,0,0,0,0,0,0.113985688840387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0478678006453931,0,0,0,0,0,0,0.0973759374049798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02175395855987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.00220688307559982,0,0,-0.0204781318208811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129411513122776,0.0475609479328971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00250110441803241,0,0,0,0,0,0,0,0,0,0,0,0,-0.0471704933604054,0,0,0,-0.0032674323091434,0,0,0.0332512257704457,0,0,0,0,0,0,0,0,0,0,-0.0532616026758364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0058500325795145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,-0.10557437049143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0372211191104088,0,0,0,0,0,0,0.00127703469486795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0407730907161359,0,0,-0.0327885903560511,-0.0234966037375423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00428792612923909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0332003722077739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0622435035185626,-0.0143500123867791,0,0,0,0,0,0,0,0,0,0,-0.0737798602747802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00323864395400517,-0.0182935298965426,0,0,0,0,0,0,0,0,0,0,0,-0.0129169281460715,-0.0210774683463123,0,-0.0389439827725317,-0.00944320614425915,-0.0484388974179605,0,-0.0623252453147402,0
-0.077177703419002,0,-0.00792917308740071,0,-0.0841983255842079,-0.0162722966804626,0,0,-0.00947363613085088,-0.0384123335506558,0,0,-0.0767626311688035,0,0,0,0,0,0,0,-0.113144167567666,-0.0229529431510131,0,0,0,-0.108391609018799,0,0,-0.0207792323900056,-0.133298796571062,-0.0424516145571013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0161931376215283,0,0,0,0,0,0,0,-0.0651481019563661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0717612094579863,0.00198742069057464,0,0,0,0,0,-0.0172416082735859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0257780661403714,0,0,0,0,0,0,0,0,0,0,0,-0.00316202830655932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00982840282193756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0153987359285806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.029022063155874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00477995905924204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.041891910751722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437704344760058,0,0,0,0,0,0.048391754278023,0,0,0,-0.00742199174529309,0,0,0,0,0,0,0,0,-0.0176622604508858,0,0,0,0,0,0,0,0,0,0,0,0.0208383594868038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00903378045586516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158841769344142,0,0.00603486867135237,0,0,0,0,0,0,0
-0.0177637272444605,-0.0572726495733696,0,0.023227424507406,0,0,0,0,0,0,0,0,0,0.0543206611841039,0,0,0,0.00477960477059375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117240661022385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0435419732115765,0,0,0,0,0,0,0,0,0,0,0.0666983164885963,0,0.00722793619898689,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0567172875585649,-0.00531285353422352,0,0,0,0,0,0,0,0,0,0,0,-0.0578664060716362,0,0,0,0,-0.041764763622014,0,0,0,0,0.0140861629760152,0,0,0.108010528021311,0.006049978883408,0,0,0,0,0,0,0,0,-0.0164627695186665,-0.0576854597118402,-0.0551628947849483,0,0,0,-0.0384280914029479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0607688766438791,-0.0423235728867984,0,0,0,0,0,-0.0827885227905651,-0.0740210611170248,0,0,0,0,0,0,-0.0589982446786332,0,0,0,0,0,0,0,0,0,0,-0.0293782406842911,0,0,0,0,0,0,0,0,0,0,0,0,-0.0465104872333991,0,0,-0.0358783227672304,-0.0491427360544139,-0.0128025428864133,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.163824257036133,-0.0790059765937218,0,0,0,-0.0191179278324495,0,0,0,0,0,0,-0.0439363169004912,0.00657451200434301,0,0,-0.113145272399322,0,0,0,0,-0.0174573715506142,0,0,0,-0.048984924740149,0.020254726917228,0,-0.0728993374727909,-0.0804901085325992,-0.00643686643061373,-0.0489917516225191,0,0,0,0,0,0,0,0,0,0,-0.00435503210481013,0,0,0,0,0,0,0,0,0,0,0,0,-0.00590836950563692,0,0,0,-0.0341590130430305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0202463830646703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0392217073173105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00278007312166717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0782223822660117,0,0,0,0,0,0,-0.0327929998085918,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0345770947931981,0,0,0.00516376593471873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
