"1-arachidonoyl-gpc (20:4)","1-docosahexaenoyl-gpc (22:6)","1-eicosatrienoyl-gpc (20:3)","1-eicosatrienoylglycerophosphoethanolamine","1-eicosenoylglycerophosphocholine (20:1n9)","1-linoleoyl-gpc (18:2)","1-linoleoyl-gpi (18:2)","1-linoleoylglycerol (18:2)","1-nonadecanoylglycerophosphocholine(19:0)","1-oleoyl-gpc (18:1)","1-oleoylglycerol (18:1)","1-oleoylglycerophosphoglycerol","1-palmitoyl-gpc (16:0)","1-palmitoyl-gpe (16:0)","1-palmitoylglycerophosphate","1-palmitoylglycerophosphoglycerol","1-stearoyl-gpc (18:0)","1,5-anhydroglucitol (1,5-ag)","2-aminobutyrate","2-arachidonoyl glycerol","2-arachidonoyl-gpc (20:4)","2-eicosatrienoyl-gpc (20:3)","2-hydroxydecanoate","2-hydroxyoctanoate","2-hydroxystearate","2-linoleoyl-gpc (18:2)","2-linoleoyl-gpe (18:2)","2-linoleoylglycerol (2-monolinolein)","2-oleoyl-gpc (18:1)","2-stearoyl-gpc (18:0)","2-stearoylglycerophosphoethanolamine","3-dehydrocarnitine","3-indoxyl sulfate","3-methylhistidine","3-methylxanthine","3-phenylpropionate (hydrocinnamate)","4-androsten-3beta,17beta-diol disulfate 1","4-vinylphenol sulfate","5-methyluridine (ribothymidine)","allantoin","alpha-ketobutyrate","androsterone sulfate","arachidonate (20:4n6)","arginylproline","asparagylleucine","bradykinin, des-arg(9)","campesterol","catechol sulfate","chiro-inositol","choline","cinnamoylglycine","cis-aconitate","citrate","cortisol","cyclo(l-phe-l-pro)","cysteine-glutathione disulfide","dehydroisoandrosterone sulfate (dhea-s)","delta-tocopherol","dihomolinoleate (20:2n6)","dihydroorotate","furaneol","gamma-cehc","gamma-glutamyl-2-aminobutyrate","gamma-glutamylalanine","glucose","glycerate","glycerol","glycochenodeoxycholate","glycocholate","glycolithocholate sulfate","glycylphenylalanine","guanidinosuccinate","guanosine","histidine","histidylphenylalanine","hwesasllr","indolepropionate","isoleucylglutamine","isoleucylglycine","isoleucylvaline","lathosterol","leucylasparagine","leucylaspartate","leucylphenylalanine","linoleamide (18:2n6)","linolenate (18:3n3 or 3n6)","lysine","maltotriose","myristoleate (14:1n5)","n-oleoyltaurine","n-palmitoyltaurine","n4-acetylcytidine","palmitate (16:0)","palmitic amide","palmitoleate (16:1n7)","palmitoyl sphingomyelin","pantothenate (vitamin b5)","paraxanthine","phenylalanylalanine","phenylalanylglutamate","pipecolate","pregn steroid monosulfate","prolylhydroxyproline","pyroglutamylglutamine","pyrophosphate (ppi)","serotonin (5ht)","stachydrine","stearate (18:0)","sucrose","taurochenodeoxycholate","taurocholate","taurolithocholate 3-sulfate","theobromine","theophylline","threonylleucine","thymol sulfate","trigonelline (n'-methylnicotinate)","tryptophylglutamate","valylglycine","x - 01911","x - 02269","x - 07765","x - 09789","x - 10346","x - 11247","x - 11299","x - 11360","x - 11381","x - 11437","x - 11440","x - 11478","x - 11483","x - 11485","x - 11537","x - 11843","x - 12056","x - 12101","x - 12212","x - 12216","x - 12231","x - 12425","x - 12450","x - 12524","x - 12565","x - 12680","x - 12729","x - 12734","x - 12760","x - 12792","x - 12798","x - 12847","x - 12860","x - 13007","x - 13429","x - 13431","x - 13478","x - 13481","x - 13730","x - 14291","x - 14626","x - 15168","x - 15559","x - 15563","x - 15667","x - 15728","x - 16036","x - 16581","x - 16653","x - 16935","x - 17001","x - 17137","x - 17146","x - 17185","x - 17269","x - 17306","x - 17323","x - 17327","x - 17335","x - 17357","x - 17654","x - 17735","x - 18140","x - 18227","x - 18249","x - 18371","x - 18718","x - 18887","x - 18914","x - 18920","x - 18965","x - 19380","x - 19411","x - 20587","xanthine","xanthurenate","xylulose"
0,-0.0229151691321282,0,0,0,0,0,-0.0830989204057948,0,0,0,0,0,0,0,0,0,0,0,-0.0403826863112401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136576092739818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0465254893007385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00486328074344916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107766049240278,0,0,0,0,-0.0382561911024482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0320804993329257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0303680791617407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0345981392158178,-0.112507553003917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0696518743735652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000206811127188723,0,-0.0139799770138776,-0.00455762978660849,0,0,0,0
-0.0277926685906816,0,-0.0382251625597975,0,0,-0.098122784366387,0,0,-0.0632484104521319,-0.0231751376472473,0,0,0,-0.0104633991503868,0,0,-0.066376650231512,0,0,0,-0.0111942826641709,-0.0828776982523518,0,0,-0.0165985237623837,-0.0214916917286844,0,0,-0.0699348045977941,-0.103761623230842,-0.0734787990767675,0,0,0,0,0,0,0,0,0,0,0,-0.0336422194126134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000188688687419586,-0.00211991608594456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0363536298271072,0,0,0,0,0,0,0,0,-0.0123167553895271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00807205318822254,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-0.117807801132995,0,-0.0346097751058683,0,0,0,-0.0124579995047507,0,0,-0.0104638979911385,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111910139324446,0,0,0,0,0.0340476540884604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113612578351722,0,0,0,-0.0802071709364495,-0.0127548879900175,0,0,0,0,-0.00442923539507787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0117994881570393,0,0,0,0,0,0,0,0,0,0,-0.0719713428451292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00982362516890218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0383606647855668,0,0,0,0,0,0,0,0,0,0,0,0,-0.00765865197824484,0,-0.00146957290170189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397938651164792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0110339454605942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,-0.10776613521702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00332693272049756,-0.00772790889746103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0431979500004641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0838415376613149,0,0,0,0,0,0,0,0,0,0,0,-0.00577320717330255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00659561081148279,0,0,0,0
-0.0323417267565998,0,-0.0433236390211339,0,0,0,0,0,-0.0479277359876886,-0.0483866988458949,0,0,-0.0663770632649966,0,0,0,0,0,-0.0339016009769537,0,-0.0629730483035173,-0.0340236636260981,0,0,-0.0132414711710281,0,0,0,-0.00883615158800925,-0.0629628740186504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011013007927854,-0.0339876474296685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00549029304763997,0,0,-0.00510481978424334,0,0,0,-0.00668413700639522,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.0397446426450855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122306668258922,0,0,0,0,0,0,0,-0.0031332944611729,0,0,0,0,0,0,0,0,0,-0.0271158448211701,0,0,0,0,0,-0.00056398997066368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0287245201051078,0,-0.0380397734841941,0,-0.0899172621309444,0,0,0,0,0,0,0,0,-0.0538033113494786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0303313671992144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0420362356323819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0507592869591558,0,0,-0.0992423240911095,-0.0169353947465551,-0.0558748287742151,0,0,0,-0.00475756943196851,0,0,0,0,0,0,0,0,0,0,0,0,-0.056962010329185,0,0,0,0,-0.11741714043555,0,0,-0.0572689375993475,0,0
-0.0317542659303226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0339015139847452,0,0,0,-0.0192564116733735,0,0,0,-0.0330126570687053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0714571172312889,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109846393332497,0,0,0,0,-0.0170907910425352,0,0,0,-0.0960551320741243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158495012295401,0,0,-0.00650305942488073,-0.005825675095487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0512886756549404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027373795942227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0234210559373454,0,0,0,0,0,-0.0512335591694328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0157344114842831,0,0,-0.00644465230863518,0,0,-0.0951269877687655,0,-0.00309259431563207,0,0
0,-0.0547479487941493,0,0,0,0,0,0,0,0,-0.0403826272372176,0,0,0,0,0,0,-0.122306532102847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0255552294134946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00894746268755774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108727357047383,0,0,-0.044549397038123,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0141975353276931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0643962310563714,0,0,-0.0120793735610909,0,0
